Index,Compound,CAS,T_half_soil_days,SOURCE,Entry,CID,INCHI,INCHIKEY,Canonical_smiles
47,ABAMECTIN,0065195-55-3|71751-41-2,47.0,HSDB,47.0,6435890,"InChI=1S/C48H72O14.C47H70O14/c1-11-25(2)43-28(5)17-18-47(62-43)23-34-20-33(61-47)16-15-27(4)42(26(3)13-12-14-32-24-55-45-40(49)29(6)19-35(46(51)58-34)48(32,45)52)59-39-22-37(54-10)44(31(8)57-39)60-38-21-36(53-9)41(50)30(7)56-38;1-24(2)41-27(5)16-17-46(61-41)22-33-19-32(60-46)15-14-26(4)42(25(3)12-11-13-31-23-54-44-39(48)28(6)18-34(45(50)57-33)47(31,44)51)58-38-21-36(53-10)43(30(8)56-38)59-37-20-35(52-9)40(49)29(7)55-37/h12-15,17-19,25-26,28,30-31,33-45,49-50,52H,11,16,20-24H2,1-10H3;11-14,16-18,24-25,27,29-30,32-44,48-49,51H,15,19-23H2,1-10H3/b13-12+,27-15+,32-14+;12-11+,26-14+,31-13+/t25?,26-,28-,30-,31-,33+,34-,35-,36-,37-,38-,39-,40+,41-,42-,43+,44-,45+,47+,48+;25-,27-,29-,30-,32+,33-,34-,35-,36-,37-,38-,39+,40-,41+,42-,43-,44+,46+,47+/m00/s1",IBSREHMXUMOFBB-MVGRHBATSA-N,CCC(C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O
48,ACENAPHTHYLENE,208-96-8|34493-60-2,121.3,HSDB,48.0,9161,InChI=1S/C12H8/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-8H,HXGDTGSAIMULJN-UHFFFAOYSA-N,C1=Cc2cccc3cccc1c23
49,ACEPHATE,30560-19-1,3.0,HSDB,49.0,1982,"InChI=1S/C4H10NO3PS/c1-4(6)5-9(7,8-2)10-3/h1-3H3,(H,5,6,7)",YASYVMFAVPKPKE-UHFFFAOYSA-N,COP(=O)(N=C(C)O)SC
50,ACEQUINOCYL,57960-19-7,2.0,HSDB,50.0,93315,"InChI=1S/C24H32O4/c1-3-4-5-6-7-8-9-10-11-12-17-21-22(26)19-15-13-14-16-20(19)23(27)24(21)28-18(2)25/h13-16H,3-12,17H2,1-2H3",QDRXWCAVUNHOGA-UHFFFAOYSA-N,CCCCCCCCCCCCC1=C(OC(C)=O)C(=O)c2ccccc2C1=O
51,ACETAMIPRID,135410-20-7|160430-64-8,18.0,HSDB,51.0,213021,"InChI=1S/C10H11ClN4/c1-8(14-7-12)15(2)6-9-3-4-10(11)13-5-9/h3-5H,6H2,1-2H3",WCXDHFDTOYPNIE-UHFFFAOYSA-N,CC(=NC#N)N(C)Cc1ccc(Cl)nc1
52,ACETOCHLOR,123113-74-6|34256-82-1,14.9,HSDB,52.0,1988,"InChI=1S/C14H20ClNO2/c1-4-12-8-6-7-11(3)14(12)16(10-18-5-2)13(17)9-15/h6-8H,4-5,9-10H2,1-3H3",VTNQPKFIQCLBDU-UHFFFAOYSA-N,CCOCN(C(=O)CCl)c1c(C)cccc1CC
53,ACIBENZOLAR-S-METHYL,135158-54-2,0.2083333,HSDB,53.0,86412,"InChI=1S/C8H6N2OS2/c1-12-8(11)5-3-2-4-6-7(5)13-10-9-6/h2-4H,1H3",UELITFHSCLAHKR-UHFFFAOYSA-N,CSC(=O)c1cccc2nnsc12
54,ACIFLUORFEN-SODIUM,62476-59-9,200.0,HSDB,54.0,44072,"InChI=1S/C14H7ClF3NO5.Na/c15-10-5-7(14(16,17)18)1-4-12(10)24-8-2-3-11(19(22)23)9(6-8)13(20)21;/h1-6H,(H,20,21);/q;+1/p-1",RVULBHWZFCBODE-UHFFFAOYSA-M,O=C([O-])c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-].[Na+]
55,ACRIDINE,260-94-6|39327-16-7,3.0,HSDB,55.0,9215,InChI=1S/C13H9N/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)14-12/h1-9H,DZBUGLKDJFMEHC-UHFFFAOYSA-N,c1ccc2nc3ccccc3cc2c1
56,ACRYLAMIDE,79-06-1|9082-06-8,1.875,HSDB,56.0,6579,"InChI=1S/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)",HRPVXLWXLXDGHG-UHFFFAOYSA-N,C=CC(=N)O
57,ALACHLOR,1246817-91-3|15972-60-8,469.0,HSDB,57.0,2078,"InChI=1S/C14H20ClNO2/c1-4-11-7-6-8-12(5-2)14(11)16(10-18-3)13(17)9-15/h6-8H,4-5,9-10H2,1-3H3",XCSGPAVHZFQHGE-UHFFFAOYSA-N,CCc1cccc(CC)c1N(COC)C(=O)CCl
58,ALLYL ISOTHIOCYANATE,57-06-7,2.0,HSDB,58.0,5971,"InChI=1S/C4H5NS/c1-2-3-5-4-6/h2H,1,3H2",ZOJBYZNEUISWFT-UHFFFAOYSA-N,C=CCN=C=S
59,ALPHACYPERMETHRIN,65731-84-2|67375-30-8|72204-44-5,14.0,HSDB,59.0,93357,"InChI=1S/C22H19Cl2NO3/c1-22(2)17(12-19(23)24)20(22)21(26)28-18(13-25)14-7-6-10-16(11-14)27-15-8-4-3-5-9-15/h3-12,17-18,20H,1-2H3/t17-,18+,20-/m0/s1",KAATUXNTWXVJKI-NSHGMRRFSA-N,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Cl)Cl
60,ALPHA-HEXACHLOROCYCLOHEXANE,119911-69-2|319-84-6|319-85-7|319-86-8|55963-79-6|58-89-9|608-73-1|6108-10-7|6108-11-8|6108-12-9|6108-13-0,90.0,HSDB,60.0,727,InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
61,AMETRYNE,834-12-8,25.0,HSDB,61.0,13263,"InChI=1S/C9H17N5S/c1-5-10-7-12-8(11-6(2)3)14-9(13-7)15-4/h6H,5H2,1-4H3,(H2,10,11,12,13,14)",RQVYBGPQFYCBGX-UHFFFAOYSA-N,CCN=c1nc(SC)[nH]c(=NC(C)C)[nH]1
62,AMICARBAZONE,129909-90-6,50.0,HSDB,62.0,153920,"InChI=1S/C10H19N5O2/c1-6(2)7-13-15(9(17)14(7)11)8(16)12-10(3,4)5/h6H,11H2,1-5H3,(H,12,16)",ORFPWVRKFLOQHK-UHFFFAOYSA-N,CC(C)c1nn(C(O)=NC(C)(C)C)c(=O)n1N
63,Aminocyclopyrachlor,858955-50-7|858956-08-8,433.0,HSDB,63.0,17747875,"InChI=1S/C8H8ClN3O2/c9-4-5(8(13)14)11-7(3-1-2-3)12-6(4)10/h3H,1-2H2,(H,13,14)(H2,10,11,12)",KWAIHLIXESXTJL-UHFFFAOYSA-N,N=c1[nH]c(C2CC2)nc(C(=O)O)c1Cl
64,Aminopyralid,150114-71-9,533.2,HSDB,64.0,213012,"InChI=1S/C6H4Cl2N2O2/c7-3-1-2(9)4(8)5(10-3)6(11)12/h1H,(H2,9,10)(H,11,12)",NIXXQNOQHKNPEJ-UHFFFAOYSA-N,Nc1cc(Cl)nc(C(=O)O)c1Cl
65,AMITRAZ,33089-61-1,1.0,HSDB,65.0,36324,"InChI=1S/C19H23N3/c1-14-6-8-18(16(3)10-14)20-12-22(5)13-21-19-9-7-15(2)11-17(19)4/h6-13H,1-5H3",QXAITBQSYVNQDR-UHFFFAOYSA-N,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1
66,AMITRIPTYLINE,50-48-6,85.2,HSDB,66.0,2160,"InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3",KRMDCWKBEZIMAB-UHFFFAOYSA-N,CN(C)CCC=C1c2ccccc2CCc2ccccc21
67,AMOXICILLIN,26787-78-0|61336-70-7,1.0,HSDB,67.0,33613,"InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)/t9-,10-,11+,14-/m1/s1",LSQZJLSUYDQPKJ-NJBDSQKTSA-N,CC1(C)S[C@@H]2[C@H](N=C(O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
68,Androstenedione,117598-81-9|63-05-8,3.2,HSDB,68.0,6128,"InChI=1S/C19H26O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-16H,3-10H2,1-2H3/t14-,15-,16-,18-,19-/m0/s1",AEMFNILZOJDQLW-QAGGRKNESA-N,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
69,AZADIRACHTIN,11141-17-6|176087-49-3,91.2,HSDB,69.0,5281303,"InChI=1S/C35H44O16/c1-8-15(2)24(38)49-18-12-19(48-16(3)36)32(26(39)43-6)13-46-21-22(32)31(18)14-47-34(42,27(40)44-7)25(31)29(4,23(21)37)35-20-11-17(30(35,5)51-35)33(41)9-10-45-28(33)50-20/h8-10,17-23,25,28,37,41-42H,11-14H2,1-7H3/b15-8+/t17-,18+,19-,20+,21-,22-,23-,25+,28+,29-,30+,31+,32+,33+,34+,35+/m1/s1",FTNJWQUOZFUQQJ-NDAWSKJSSA-N,C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C(=O)OC)CO[C@H]3[C@@H](O)[C@@](C)([C@]45O[C@@]4(C)[C@H]4C[C@@H]5O[C@@H]5OC=C[C@@]54O)[C@H]4[C@]1(CO[C@]4(O)C(=O)OC)[C@@H]32
70,AZINPHOSMETHYL,86-50-0,68.0,HSDB,70.0,2268,"InChI=1S/C10H12N3O3PS2/c1-15-17(18,16-2)19-7-13-10(14)8-5-3-4-6-9(8)11-12-13/h3-6H,7H2,1-2H3",CJJOSEISRRTUQB-UHFFFAOYSA-N,COP(=S)(OC)SCn1nnc2ccccc2c1=O
71,BACITRACIN,NA,22.5,HSDB,71.0,NA,NA,NA,NA
72,BANTROL,13684-83-4|1689-83-4,10.0,HSDB,72.0,15530,"InChI=1S/C7H3I2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",NRXQIUSYPAHGNM-UHFFFAOYSA-N,N#Cc1cc(I)c(O)c(I)c1
73,BENDIOCARB,22781-23-3,12.0,HSDB,73.0,2314,"InChI=1S/C11H13NO4/c1-11(2)15-8-6-4-5-7(9(8)16-11)14-10(13)12-3/h4-6H,1-3H3,(H,12,13)",XEGGRYVFLWGFHI-UHFFFAOYSA-N,CN=C(O)Oc1cccc2c1OC(C)(C)O2
74,BENFLURALIN,1861-40-1,86.0,HSDB,74.0,2319,"InChI=1S/C13H16F3N3O4/c1-3-5-6-17(4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3",SMDHCQAYESWHAE-UHFFFAOYSA-N,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
75,Bentazon,25057-89-0,46.0,HSDB,75.0,2328,"InChI=1S/C10H12N2O3S/c1-7(2)12-10(13)8-5-3-4-6-9(8)11-16(12,14)15/h3-7,11H,1-2H3",ZOMSMJKLGFBRBS-UHFFFAOYSA-N,CC(C)N1C(=O)c2ccccc2NS1(=O)=O
76,BENTHIAVALICARB ISOPROPYL,177406-68-7,19.0,HSDB,76.0,53297381,"InChI=1S/C18H24FN3O3S/c1-9(2)15(22-18(24)25-10(3)4)16(23)20-11(5)17-21-13-7-6-12(19)8-14(13)26-17/h6-11,15H,1-5H3,(H,20,23)(H,22,24)/t11-,15+/m1/s1",USRKFGIXLGKMKU-ABAIWWIYSA-N,CC(C)OC(O)=N[C@H](C(O)=N[C@H](C)c1nc2ccc(F)cc2s1)C(C)C
77,BENZO(B)FLUORANTHENE,1397206-82-4|205-99-2,610.0,HSDB,77.0,9153,InChI=1S/C20H12/c1-2-7-14-13(6-1)12-19-16-9-4-3-8-15(16)18-11-5-10-17(14)20(18)19/h1-12H,FTOVXSOBNPWTSH-UHFFFAOYSA-N,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
78,BETA-HEXACHLOROCYCLOHEXANE,119911-69-2|319-84-6|319-85-7|319-86-8|55963-79-6|58-89-9|608-73-1|6108-10-7|6108-11-8|6108-12-9|6108-13-0,184.0,HSDB,78.0,727,InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
79,BETANAL,13684-63-4,55.0,HSDB,79.0,24744,"InChI=1S/C16H16N2O4/c1-11-5-3-6-12(9-11)18-16(20)22-14-8-4-7-13(10-14)17-15(19)21-2/h3-10H,1-2H3,(H,17,19)(H,18,20)",IDOWTHOLJBTAFI-UHFFFAOYSA-N,COC(O)=Nc1cccc(OC(O)=Nc2cccc(C)c2)c1
80,Bifenazate,149877-41-8,77.9,HSDB,80.0,176879,"InChI=1S/C17H20N2O3/c1-12(2)22-17(20)19-18-15-11-14(9-10-16(15)21-3)13-7-5-4-6-8-13/h4-12,18H,1-3H3,(H,19,20)",VHLKTXFWDRXILV-UHFFFAOYSA-N,COc1ccc(-c2ccccc2)cc1NN=C(O)OC(C)C
81,BIFENOX,42576-02-3,7.0,HSDB,81.0,39230,"InChI=1S/C14H9Cl2NO5/c1-21-14(18)10-7-9(3-4-12(10)17(19)20)22-13-5-2-8(15)6-11(13)16/h2-7H,1H3",SUSRORUBZHMPCO-UHFFFAOYSA-N,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-]
82,Bifenthrin,439680-76-9|82657-04-3,1410.0,HSDB,82.0,6442842,"InChI=1S/C23H22ClF3O2/c1-14-16(10-7-11-17(14)15-8-5-4-6-9-15)13-29-21(28)20-18(22(20,2)3)12-19(24)23(25,26)27/h4-12,18,20H,13H2,1-3H3/b19-12-/t18-,20-/m0/s1",OMFRMAHOUUJSGP-IRHGGOMRSA-N,Cc1c(COC(=O)[C@@H]2[C@H](/C=C(\Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1
83,BIS(2-BUTOXYETHYL) PHTHALATE,117-83-9,10.0,HSDB,83.0,8345,"InChI=1S/C20H30O6/c1-3-5-11-23-13-15-25-19(21)17-9-7-8-10-18(17)20(22)26-16-14-24-12-6-4-2/h7-10H,3-6,11-16H2,1-2H3",CMCJNODIWQEOAI-UHFFFAOYSA-N,CCCCOCCOC(=O)c1ccccc1C(=O)OCCOCCCC
84,BOSCALID,188425-85-6,578.0,HSDB,84.0,213013,"InChI=1S/C18H12Cl2N2O/c19-13-9-7-12(8-10-13)14-4-1-2-6-16(14)22-18(23)15-5-3-11-21-17(15)20/h1-11H,(H,22,23)",WYEMLYFITZORAB-UHFFFAOYSA-N,OC(=Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl
85,BRODIFACOUM,56073-10-0|80449-88-3,157.0,HSDB,85.0,54680676,"InChI=1S/C31H23BrO3/c32-24-15-13-20(14-16-24)19-9-11-21(12-10-19)23-17-22-5-1-2-6-25(22)27(18-23)29-30(33)26-7-3-4-8-28(26)35-31(29)34/h1-16,23,27,33H,17-18H2",VEUZZDOCACZPRY-UHFFFAOYSA-N,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21
86,BROMACIL,314-40-9|8027-85-8,275.0,HSDB,86.0,9411,"InChI=1S/C9H13BrN2O2/c1-4-5(2)12-8(13)7(10)6(3)11-9(12)14/h5H,4H2,1-3H3,(H,11,14)",CTSLUCNDVMMDHG-UHFFFAOYSA-N,CCC(C)n1c(O)nc(C)c(Br)c1=O
87,Bromethalin,63333-35-7,178.0,HSDB,87.0,44465,"InChI=1S/C14H7Br3F3N3O4/c1-21(13-9(16)2-6(15)3-10(13)17)12-8(14(18,19)20)4-7(22(24)25)5-11(12)23(26)27/h2-5H,1H3",USMZPYXTVKAYST-UHFFFAOYSA-N,CN(c1c(Br)cc(Br)cc1Br)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F
88,BROMOPHOS,2104-96-3,88.5,HSDB,88.0,16422,"InChI=1S/C8H8BrCl2O3PS/c1-12-15(16,13-2)14-8-4-6(10)5(9)3-7(8)11/h3-4H,1-2H3",NYQDCVLCJXRDSK-UHFFFAOYSA-N,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl
89,BROMOXYNIL,1689-84-5|2961-68-4,10.0,HSDB,89.0,15531,"InChI=1S/C7H3Br2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",UPMXNNIRAGDFEH-UHFFFAOYSA-N,N#Cc1cc(Br)c(O)c(Br)c1
90,BROMOXYNIL OCTANOATE,1689-99-2,28.0,HSDB,90.0,15533,"InChI=1S/C15H17Br2NO2/c1-2-3-4-5-6-7-14(19)20-15-12(16)8-11(10-18)9-13(15)17/h8-9H,2-7H2,1H3",DQKWXTIYGWPGOO-UHFFFAOYSA-N,CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br
91,Buprofezin,69327-76-0|953030-84-7,120.0,HSDB,91.0,50367,"InChI=1S/C16H23N3OS/c1-12(2)19-14(17-16(3,4)5)21-11-18(15(19)20)13-9-7-6-8-10-13/h6-10,12H,11H2,1-5H3",PRLVTUNWOQKEAI-UHFFFAOYSA-N,CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C
92,BUTACHLOR,23184-66-9,640.0,HSDB,92.0,31677,"InChI=1S/C17H26ClNO2/c1-4-7-11-21-13-19(16(20)12-18)17-14(5-2)9-8-10-15(17)6-3/h8-10H,4-7,11-13H2,1-3H3",HKPHPIREJKHECO-UHFFFAOYSA-N,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC
93,BUTOXYCARBOXIM,34681-23-7,44.0,HSDB,93.0,61938,"InChI=1S/C7H14N2O4S/c1-5(6(2)14(4,11)12)9-13-7(10)8-3/h6H,1-4H3,(H,8,10)",CTJBHIROCMPUKL-UHFFFAOYSA-N,CN=C(O)ON=C(C)C(C)S(C)(=O)=O
94,BUTRALIN,33629-47-9,52.0,HSDB,94.0,36565,"InChI=1S/C14H21N3O4/c1-6-9(2)15-13-11(16(18)19)7-10(14(3,4)5)8-12(13)17(20)21/h7-9,15H,6H2,1-5H3",SPNQRCTZKIBOAX-UHFFFAOYSA-N,CCC(C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-]
95,Butylate,2008-41-5,24.0,HSDB,95.0,16181,"InChI=1S/C11H23NOS/c1-6-14-11(13)12(7-9(2)3)8-10(4)5/h9-10H,6-8H2,1-5H3",BMTAFVWTTFSTOG-UHFFFAOYSA-N,CCSC(=O)N(CC(C)C)CC(C)C
96,Cadusafos,103735-82-6|95465-99-9,42.6,HSDB,96.0,91752,"InChI=1S/C10H23O2PS2/c1-6-9(4)14-13(11,12-8-3)15-10(5)7-2/h9-10H,6-8H2,1-5H3",KXRPCFINVWWFHQ-UHFFFAOYSA-N,CCOP(=O)(SC(C)CC)SC(C)CC
97,CAPTAFOL,2425-06-1,55.0,HSDB,97.0,17038,"InChI=1S/C10H9Cl4NO2S/c11-9(12)10(13,14)18-15-7(16)5-3-1-2-4-6(5)8(15)17/h1-2,5-6,9H,3-4H2",JHRWWRDRBPCWTF-UHFFFAOYSA-N,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl
98,CARBOXIN,5234-68-4,129.0,HSDB,98.0,21307,"InChI=1S/C12H13NO2S/c1-9-11(16-8-7-15-9)12(14)13-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3,(H,13,14)",GYSSRZJIHXQEHQ-UHFFFAOYSA-N,CC1=C(C(O)=Nc2ccccc2)SCCO1
99,CARFENTRAZONE-ETHYL,128639-02-1,1.7,HSDB,99.0,86222,"InChI=1S/C15H14Cl2F3N3O3/c1-3-26-13(24)10(17)4-8-5-12(11(18)6-9(8)16)23-15(25)22(14(19)20)7(2)21-23/h5-6,10,14H,3-4H2,1-2H3",MLKCGVHIFJBRCD-UHFFFAOYSA-N,CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl
100,CHLORBROMURON,13360-45-7,66.0,HSDB,100.0,25912,"InChI=1S/C9H10BrClN2O2/c1-13(15-2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)",NLYNUTMZTCLNOO-UHFFFAOYSA-N,CON(C)C(O)=Nc1ccc(Br)c(Cl)c1
101,CHLORETHOXYFOS,54593-83-8,20.0,HSDB,101.0,91655,"InChI=1S/C6H11Cl4O3PS/c1-3-11-14(15,12-4-2)13-5(7)6(8,9)10/h5H,3-4H2,1-2H3",XFDJMIHUAHSGKG-UHFFFAOYSA-N,CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl
102,CHLORFENAPYR,122453-73-0,250.0,HSDB,102.0,91778,"InChI=1S/C15H11BrClF3N2O/c1-2-23-8-22-13(9-3-5-10(17)6-4-9)11(7-21)12(16)14(22)15(18,19)20/h3-6H,2,8H2,1H3",CWFOCCVIPCEQCK-UHFFFAOYSA-N,CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F
103,CHLOROBENZILATE,510-15-6,35.0,HSDB,103.0,10522,"InChI=1S/C16H14Cl2O3/c1-2-21-15(19)16(20,11-3-7-13(17)8-4-11)12-5-9-14(18)10-6-12/h3-10,20H,2H2,1H3",RAPBNVDSDCTNRC-UHFFFAOYSA-N,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
104,CHLOROFENVINPHOS,135373-33-0|18708-87-7|470-90-6,150.0,HSDB,104.0,5377784,"InChI=1S/C12H14Cl3O4P/c1-3-17-20(16,18-4-2)19-12(8-13)10-6-5-9(14)7-11(10)15/h5-8H,3-4H2,1-2H3/b12-8-",FSAVDKDHPDSCTO-WQLSENKSSA-N,CCOP(=O)(OCC)O/C(=C\Cl)c1ccc(Cl)cc1Cl
105,CHLORONEB,2675-77-6,180.0,HSDB,105.0,17581,"InChI=1S/C8H8Cl2O2/c1-11-7-3-6(10)8(12-2)4-5(7)9/h3-4H,1-2H3",PFIADAMVCJPXSF-UHFFFAOYSA-N,COc1cc(Cl)c(OC)cc1Cl
106,CHLOROPHACINONE,3691-35-8,47.3,HSDB,106.0,19402,"InChI=1S/C23H15ClO3/c24-16-12-10-15(11-13-16)19(14-6-2-1-3-7-14)23(27)20-21(25)17-8-4-5-9-18(17)22(20)26/h1-13,19-20H",UDHXJZHVNHGCEC-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccc(Cl)cc1
107,CHLORPYRIFOS-METHYL,5598-13-0,11.0,HSDB,107.0,21803,"InChI=1S/C7H7Cl3NO3PS/c1-12-15(16,13-2)14-7-5(9)3-4(8)6(10)11-7/h3H,1-2H3",HRBKVYFZANMGRE-UHFFFAOYSA-N,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl
108,CHLORSULFURON,112143-77-8|64902-72-3|79793-04-7,28.0,HSDB,108.0,47491,"InChI=1S/C12H12ClN5O4S/c1-7-14-10(17-12(15-7)22-2)16-11(19)18-23(20,21)9-6-4-3-5-8(9)13/h3-6H,1-2H3,(H2,14,15,16,17,18,19)",VJYIFXVZLXQVHO-UHFFFAOYSA-N,COc1nc(C)nc(=NC(O)=NS(=O)(=O)c2ccccc2Cl)[nH]1
109,CHLORTOLURON,15545-48-9,4730.0,HSDB,109.0,27375,"InChI=1S/C10H13ClN2O/c1-7-4-5-8(6-9(7)11)12-10(14)13(2)3/h4-6H,1-3H3,(H,12,14)",JXCGFZXSOMJFOA-UHFFFAOYSA-N,Cc1ccc(N=C(O)N(C)C)cc1Cl
110,CIODRIN,29900-31-0|326-12-5|7700-17-6,3.208333,HSDB,110.0,5371578,"InChI=1S/C14H19O6P/c1-11(20-21(16,17-3)18-4)10-14(15)19-12(2)13-8-6-5-7-9-13/h5-10,12H,1-4H3/b11-10+",XXXSILNSXNPGKG-ZHACJKMWSA-N,COP(=O)(OC)O/C(C)=C/C(=O)OC(C)c1ccccc1
111,"CIS-1,3-DICHLOROPROPENE",10061-01-5,54.0,HSDB,111.0,5280970,"InChI=1S/C3H4Cl2/c4-2-1-3-5/h1-2H,3H2/b2-1-",UOORRWUZONOOLO-UPHRSURJSA-N,Cl/C=C\CCl
112,Clethodim,99129-21-2,3.0,HSDB,112.0,135491728,"InChI=1S/C17H26ClNO3S/c1-4-14(19-22-8-6-7-18)17-15(20)10-13(11-16(17)21)9-12(3)23-5-2/h6-7,12-13,20H,4-5,8-11H2,1-3H3/b7-6+,19-14+",SILSDTWXNBZOGF-KUZBFYBWSA-N,CCSC(C)CC1CC(=O)C(/C(CC)=N/OC/C=C/Cl)=C(O)C1
113,CLINDAMYCIN,18323-44-9,86.0,HSDB,113.0,446598,"InChI=1S/C18H33ClN2O5S/c1-5-6-10-7-11(21(3)8-10)17(25)20-12(9(2)19)16-14(23)13(22)15(24)18(26-16)27-4/h9-16,18,22-24H,5-8H2,1-4H3,(H,20,25)/t9-,10+,11-,12+,13-,14+,15+,16+,18+/m0/s1",KDLRVYVGXIQJDK-AWPVFWJPSA-N,CCC[C@@H]1C[C@@H](C(O)=N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1
114,CLODINAFOP-PROPARGYL,105512-06-9|126301-94-8,33.6,HSDB,114.0,92431,"InChI=1S/C17H13ClFNO4/c1-3-8-22-17(21)11(2)23-13-4-6-14(7-5-13)24-16-15(19)9-12(18)10-20-16/h1,4-7,9-11H,8H2,2H3/t11-/m1/s1",JBDHZKLJNAIJNC-LLVKDONJSA-N,C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1
115,CLOPYRALID,1702-17-6,38.0,HSDB,115.0,15553,"InChI=1S/C6H3Cl2NO2/c7-3-1-2-4(8)9-5(3)6(10)11/h1-2H,(H,10,11)",HUBANNPOLNYSAD-UHFFFAOYSA-N,O=C(O)c1nc(Cl)ccc1Cl
116,CLORANSULAM-METHYL,147150-35-4,13.0,HSDB,116.0,86453,"InChI=1S/C15H13ClFN5O5S/c1-3-27-15-18-10(17)7-11-19-14(20-22(11)15)28(24,25)21-12-8(13(23)26-2)5-4-6-9(12)16/h4-7,21H,3H2,1-2H3",BIKACRYIQSLICJ-UHFFFAOYSA-N,CCOc1nc(F)cc2nc(S(=O)(=O)Nc3c(Cl)cccc3C(=O)OC)nn12
