Index,Compound,CAS,T_half_sediment_days,SOURCE,Entry,CID,INCHI,INCHIKEY,Canonical_smiles
12,"3,4,5-TRICHLOROPHENOL",609-19-8,22.0,HSDB,12.0,11859,"InChI=1S/C6H3Cl3O/c7-4-1-3(10)2-5(8)6(4)9/h1-2,10H",GBNHEBQXJVDXSW-UHFFFAOYSA-N,Oc1cc(Cl)c(Cl)c(Cl)c1
13,"3,4-DICHLOROANILINE",95-76-1,60.0,HSDB,13.0,7257,"InChI=1S/C6H5Cl2N/c7-5-2-1-4(9)3-6(5)8/h1-3H,9H2",SDYWXFYBZPNOFX-UHFFFAOYSA-N,Nc1ccc(Cl)c(Cl)c1
14,"3,4-DICHLORONITROBENZENE",99-54-7,2.4,HSDB,14.0,7443,InChI=1S/C6H3Cl2NO2/c7-5-2-1-4(9(10)11)3-6(5)8/h1-3H,NTBYINQTYWZXLH-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(Cl)c(Cl)c1
15,"3,4-DICHLOROPHENOL",95-77-2,70.0,HSDB,15.0,7258,"InChI=1S/C6H4Cl2O/c7-5-2-1-4(9)3-6(5)8/h1-3,9H",WDNBURPWRNALGP-UHFFFAOYSA-N,Oc1ccc(Cl)c(Cl)c1
16,"3,5-DICHLOROANILINE",1219795-03-5|626-43-7,149.0,HSDB,16.0,12281,"InChI=1S/C6H5Cl2N/c7-4-1-5(8)3-6(9)2-4/h1-3H,9H2",UQRLKWGPEVNVHT-UHFFFAOYSA-N,Nc1cc(Cl)cc(Cl)c1
17,"3,5-DICHLOROPHENOL",591-35-5,36.0,HSDB,17.0,11571,"InChI=1S/C6H4Cl2O/c7-4-1-5(8)3-6(9)2-4/h1-3,9H",VPOMSPZBQMDLTM-UHFFFAOYSA-N,Oc1cc(Cl)cc(Cl)c1
18,3-CHLOROANILINE,108-42-9,666.3,HSDB,18.0,7932,"InChI=1S/C6H6ClN/c7-5-2-1-3-6(8)4-5/h1-4H,8H2",PNPCRKVUWYDDST-UHFFFAOYSA-N,Nc1cccc(Cl)c1
19,3-CHLOROPHENOL,108-43-0,173.0,HSDB,19.0,7933,"InChI=1S/C6H5ClO/c7-5-2-1-3-6(8)4-5/h1-4,8H",HORNXRXVQWOLPJ-UHFFFAOYSA-N,Oc1cccc(Cl)c1
20,3-IODO-2-PROPYNYL BUTYLCARBAMATE,1246815-08-6|55406-53-6|85045-09-6,0.5541667,HSDB,20.0,62097,"InChI=1S/C8H12INO2/c1-2-3-6-10-8(11)12-7-4-5-9/h2-3,6-7H2,1H3,(H,10,11)",WYVVKGNFXHOCQV-UHFFFAOYSA-N,CCCCN=C(O)OCC#CI
21,3-PYRIDINECARBONITRILE,100-54-9,9.41,HSDB,21.0,79,"InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-3,5H",GZPHSAQLYPIAIN-UHFFFAOYSA-N,N#Cc1cccnc1
22,"4,4'-DICHLOROAZOBENZENE",1602-00-2|21650-51-1,80.0,HSDB,22.0,15340,InChI=1S/C12H8Cl2N2/c13-9-1-5-11(6-2-9)15-16-12-7-3-10(14)4-8-12/h1-8H,XHQLXCFUPJSGOE-UHFFFAOYSA-N,Clc1ccc(N=Nc2ccc(Cl)cc2)cc1
23,"4,4'-THIOBISBENZENAMINE",139-65-1,1.333333,HSDB,23.0,8765,"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",ICNFHJVPAJKPHW-UHFFFAOYSA-N,Nc1ccc(Sc2ccc(N)cc2)cc1
24,4-BROMOANILINE,106-40-1,124.4,HSDB,24.0,7807,"InChI=1S/C6H6BrN/c7-5-1-3-6(8)4-2-5/h1-4H,8H2",WDFQBORIUYODSI-UHFFFAOYSA-N,Nc1ccc(Br)cc1
25,4-FLUOROANILINE,371-40-4,211.3,HSDB,25.0,9731,"InChI=1S/C6H6FN/c7-5-1-3-6(8)4-2-5/h1-4H,8H2",KRZCOLNOCZKSDF-UHFFFAOYSA-N,Nc1ccc(F)cc1
26,4-NITRO-3-TRIFLUOROMETHYLPHENOL,88-30-2,2.1,HSDB,26.0,6931,"InChI=1S/C7H4F3NO3/c8-7(9,10)5-3-4(12)1-2-6(5)11(13)14/h1-3,12H",ZEFMBAFMCSYJOO-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F
27,5-Chloro-2-methyl-4-isothiazolin-3-one,26172-55-4,5.0,HSDB,27.0,33344,"InChI=1S/C4H4ClNOS/c1-6-4(7)2-3(5)8-6/h2H,1H3",DHNRXBZYEKSXIM-UHFFFAOYSA-N,Cn1sc(Cl)cc1=O
28,ACEPHATE,30560-19-1,6.6,HSDB,28.0,1982,"InChI=1S/C4H10NO3PS/c1-4(6)5-9(7,8-2)10-3/h1-3H3,(H,5,6,7)",YASYVMFAVPKPKE-UHFFFAOYSA-N,COP(=O)(N=C(C)O)SC
29,ACETAMIPRID,135410-20-7|160430-64-8,45.0,HSDB,29.0,213021,"InChI=1S/C10H11ClN4/c1-8(14-7-12)15(2)6-9-3-4-10(11)13-5-9/h3-5H,6H2,1-2H3",WCXDHFDTOYPNIE-UHFFFAOYSA-N,CC(=NC#N)N(C)Cc1ccc(Cl)nc1
30,ACETOCHLOR,123113-74-6|34256-82-1,16.0,HSDB,30.0,1988,"InChI=1S/C14H20ClNO2/c1-4-12-8-6-7-11(3)14(12)16(10-18-5-2)13(17)9-15/h6-8H,4-5,9-10H2,1-3H3",VTNQPKFIQCLBDU-UHFFFAOYSA-N,CCOCN(C(=O)CCl)c1c(C)cccc1CC
31,ALPHA-METHYLBENZYL ALCOHOL,13323-81-4|98-85-1,7.0,HSDB,31.0,7409,"InChI=1S/C8H10O/c1-7(9)8-5-3-2-4-6-8/h2-7,9H,1H3",WAPNOHKVXSQRPX-UHFFFAOYSA-N,CC(O)c1ccccc1
32,AZOBENZENE,103-33-3|1080-16-6|17082-12-1,1.01666,HSDB,32.0,2272,InChI=1S/C12H10N2/c1-3-7-11(8-4-1)13-14-12-9-5-2-6-10-12/h1-10H,DMLAVOWQYNRWNQ-UHFFFAOYSA-N,c1ccc(N=Nc2ccccc2)cc1
33,BENZO(E)PYRENE,192-97-2|73467-76-2,875.0,HSDB,33.0,9128,InChI=1S/C20H12/c1-2-8-16-15(7-1)17-9-3-5-13-11-12-14-6-4-10-18(16)20(14)19(13)17/h1-12H,TXVHTIQJNYSSKO-UHFFFAOYSA-N,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31
34,Benzylamine,100-46-9|89551-24-6,3.3,HSDB,34.0,7504,"InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2",WGQKYBSKWIADBV-UHFFFAOYSA-N,NCc1ccccc1
35,BETA-HEXACHLOROCYCLOHEXANE,119911-69-2|319-84-6|319-85-7|319-86-8|55963-79-6|58-89-9|608-73-1|6108-10-7|6108-11-8|6108-12-9|6108-13-0,7.416667,HSDB,35.0,727,InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
36,Bisphenol A,102438-62-0|25766-59-0|80-05-7,1.1,HSDB,36.0,6623,"InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3",IISBACLAFKSPIT-UHFFFAOYSA-N,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
37,C.I. DIRECT BLUE 1,2610-05-1,16.5,HSDB,37.0,17460,"InChI=1S/C34H28N6O16S4.4Na/c1-55-23-11-15(3-7-19(23)37-39-21-9-5-17-25(57(43,44)45)13-27(59(49,50)51)31(35)29(17)33(21)41)16-4-8-20(24(12-16)56-2)38-40-22-10-6-18-26(58(46,47)48)14-28(60(52,53)54)32(36)30(18)34(22)42;;;;/h3-14,41-42H,35-36H2,1-2H3,(H,43,44,45)(H,46,47,48)(H,49,50,51)(H,52,53,54);;;;/q;4*+1/p-4",BPHHNXJPFPEJOF-UHFFFAOYSA-J,COc1cc(-c2ccc(N=Nc3ccc4c(S(=O)(=O)[O-])cc(S(=O)(=O)O)c(N)c4c3[O-])c(OC)c2)ccc1N=Nc1ccc2c(S(=O)(=O)[O-])cc(S(=O)(=O)O)c(N)c2c1[O-].[Na+].[Na+].[Na+].[Na+]
38,C.I. DIRECT RED 28,573-58-0,3.6,HSDB,38.0,11313,"InChI=1S/C32H24N6O6S2.2Na/c33-31-25-7-3-1-5-23(25)29(45(39,40)41)17-27(31)37-35-21-13-9-19(10-14-21)20-11-15-22(16-12-20)36-38-28-18-30(46(42,43)44)24-6-2-4-8-26(24)32(28)34;;/h1-18H,33-34H2,(H,39,40,41)(H,42,43,44);;/q;2*+1/p-2",IQFVPQOLBLOTPF-UHFFFAOYSA-L,Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+]
39,CHLORFENAPYR,122453-73-0,250.0,HSDB,39.0,91778,"InChI=1S/C15H11BrClF3N2O/c1-2-23-8-22-13(9-3-5-10(17)6-4-9)11(7-21)12(16)14(22)15(18,19)20/h3-6H,2,8H2,1H3",CWFOCCVIPCEQCK-UHFFFAOYSA-N,CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F
40,CLONITRALIDE,1420-04-8|5716-19-8,2.9,HSDB,40.0,14992,"InChI=1S/C13H8Cl2N2O4.C2H7NO/c14-7-1-4-12(18)9(5-7)13(19)16-11-3-2-8(17(20)21)6-10(11)15;3-1-2-4/h1-6,18H,(H,16,19);4H,1-3H2",XYCDHXSQODHSLG-UHFFFAOYSA-N,NCCO.O=[N+]([O-])c1ccc(N=C(O)c2cc(Cl)ccc2O)c(Cl)c1
41,CYPERMETHRIN,137497-61-1|211504-93-7|52315-07-8|71697-59-1|72204-44-5|86753-92-6|97955-44-7,85.0,HSDB,41.0,2912,"InChI=1S/C22H19Cl2NO3/c1-22(2)17(12-19(23)24)20(22)21(26)28-18(13-25)14-7-6-10-16(11-14)27-15-8-4-3-5-9-15/h3-12,17-18,20H,1-2H3",KAATUXNTWXVJKI-UHFFFAOYSA-N,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
42,DECABROMODIPHENYL ETHER,1163-19-5|145538-74-5,3650.0,HSDB,42.0,14410,InChI=1S/C12Br10O/c13-1-3(15)7(19)11(8(20)4(1)16)23-12-9(21)5(17)2(14)6(18)10(12)22,WHHGLZMJPXIBIX-UHFFFAOYSA-N,Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br
43,DECAMETHYLCYCLOPENTASILOXANE,541-02-6,2700.0,HSDB,43.0,10913,"InChI=1S/C10H30O5Si5/c1-16(2)11-17(3,4)13-19(7,8)15-20(9,10)14-18(5,6)12-16/h1-10H3",XMSXQFUHVRWGNA-UHFFFAOYSA-N,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
44,"DIBENZO(A,H)PYRENE",189-64-0|58615-36-4,875.0,HSDB,44.0,9108,InChI=1S/C24H14/c1-3-7-19-15(5-1)13-17-9-12-22-20-8-4-2-6-16(20)14-18-10-11-21(19)23(17)24(18)22/h1-14H,RXUSYFJGDZFVND-UHFFFAOYSA-N,c1ccc2c(c1)cc1ccc3c4ccccc4cc4ccc2c1c43
45,"Dibenzo(a,i)pyrene",189-55-9,875.0,HSDB,45.0,9106,InChI=1S/C24H14/c1-3-7-19-15(5-1)13-17-9-10-18-14-16-6-2-4-8-20(16)22-12-11-21(19)23(17)24(18)22/h1-14H,TUGYIJVAYAHHHM-UHFFFAOYSA-N,c1ccc2c(c1)cc1ccc3cc4ccccc4c4ccc2c1c34
46,Dichloroethylene,107-06-2|25323-30-2|52399-93-6,511.0,HSDB,46.0,11,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,WSLDOOZREJYCGB-UHFFFAOYSA-N,ClCCCl
47,Dichlorvos,62-73-7,50.0,HSDB,47.0,3039,"InChI=1S/C4H7Cl2O4P/c1-8-11(7,9-2)10-3-4(5)6/h3H,1-2H3",OEBRKCOSUFCWJD-UHFFFAOYSA-N,COP(=O)(OC)OC=C(Cl)Cl
48,DICYCLOHEXYL PHTHALATE,84-61-7,26.4,HSDB,48.0,6777,"InChI=1S/C20H26O4/c21-19(23-15-9-3-1-4-10-15)17-13-7-8-14-18(17)20(22)24-16-11-5-2-6-12-16/h7-8,13-16H,1-6,9-12H2",VOWAEIGWURALJQ-UHFFFAOYSA-N,O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1
49,DIFLUBENZURON,35367-38-5,15.0,HSDB,49.0,37123,"InChI=1S/C14H9ClF2N2O2/c15-8-4-6-9(7-5-8)18-14(21)19-13(20)12-10(16)2-1-3-11(12)17/h1-7H,(H2,18,19,20,21)",QQQYTWIFVNKMRW-UHFFFAOYSA-N,O=C(N=C(O)c1c(F)cccc1F)Nc1ccc(Cl)cc1
50,DIMETHYLARSENIC ACID,75-60-5|917-76-0,30.0,HSDB,50.0,2513,"InChI=1S/C2H7AsO2/c1-3(2,4)5/h1-2H3,(H,4,5)",OGGXGZAMXPVRFZ-UHFFFAOYSA-N,C[As](C)(=O)O
51,FLUCYTHRINATE,70124-77-5,16.0,HSDB,51.0,50980,"InChI=1S/C26H23F2NO4/c1-17(2)24(18-11-13-21(14-12-18)32-26(27)28)25(30)33-23(16-29)19-7-6-10-22(15-19)31-20-8-4-3-5-9-20/h3-15,17,23-24,26H,1-2H3",GBIHOLCMZGAKNG-UHFFFAOYSA-N,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1
52,FLUMEQUINE,42835-25-6,155.0,HSDB,52.0,3374,"InChI=1S/C14H12FNO3/c1-7-2-3-8-4-9(15)5-10-12(8)16(7)6-11(13(10)17)14(18)19/h4-7H,2-3H2,1H3,(H,18,19)",DPSPPJIUMHPXMA-UHFFFAOYSA-N,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23
53,Furosemide,54-31-9|84931-49-7,20.0,HSDB,53.0,3440,"InChI=1S/C12H11ClN2O5S/c13-9-5-10(15-6-7-2-1-3-20-7)8(12(16)17)4-11(9)21(14,18)19/h1-5,15H,6H2,(H,16,17)(H2,14,18,19)",ZZUFCTLCJUWOSV-UHFFFAOYSA-N,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
54,GLYPHOSATE,1071-83-6|81591-81-3|994-61-6,30.5,HSDB,54.0,3496,"InChI=1S/C3H8NO5P/c5-3(6)1-4-2-10(7,8)9/h4H,1-2H2,(H,5,6)(H2,7,8,9)",XDDAORKBJWWYJS-UHFFFAOYSA-N,O=C(O)CNCP(=O)(O)O
55,HEXACHLORONAPHTHALENE,1335-87-1|58877-88-6,180.0,HSDB,55.0,108177,InChI=1S/C10H2Cl6/c11-4-2-1-3-5(7(4)13)8(14)10(16)9(15)6(3)12/h1-2H,CTLMCQOGOWNFHA-UHFFFAOYSA-N,Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl
56,HEXACHLOROPHENE,139411-96-4|70-30-4,290.0,HSDB,56.0,3598,"InChI=1S/C13H6Cl6O2/c14-6-2-8(16)12(20)4(10(6)18)1-5-11(19)7(15)3-9(17)13(5)21/h2-3,20-21H,1H2",ACGUYXCXAPNIKK-UHFFFAOYSA-N,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
57,Hydrochlorothiazide,125727-50-6|58-93-5|8049-49-8,28.8,HSDB,57.0,3639,"InChI=1S/C7H8ClN3O4S2/c8-4-1-5-7(2-6(4)16(9,12)13)17(14,15)11-3-10-5/h1-2,10-11H,3H2,(H2,9,12,13)",JZUFKLXOESDKRF-UHFFFAOYSA-N,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
58,Imazamox,114311-32-9|221298-64-2,142.0,HSDB,58.0,86137,"InChI=1S/C15H19N3O4/c1-8(2)15(3)14(21)17-12(18-15)11-10(13(19)20)5-9(6-16-11)7-22-4/h5-6,8H,7H2,1-4H3,(H,19,20)(H,17,18,21)",NUPJIGQFXCQJBK-UHFFFAOYSA-N,COCc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1
59,KEPONE,143-50-0,312.0,HSDB,59.0,299,"InChI=1S/C10Cl10O/c11-2-1(21)3(12)6(15)4(2,13)8(17)5(2,14)7(3,16)9(6,18)10(8,19)20",LHHGDZSESBACKH-UHFFFAOYSA-N,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
60,METHANE,14493-06-2|150036-83-2|74-82-8|8006-14-2,70.0,HSDB,60.0,297,InChI=1S/CH4/h1H4,VNWKTOKETHGBQD-UHFFFAOYSA-N,C
61,Methylisothiazolinone,2682-20-4,9.0,HSDB,61.0,39800,"InChI=1S/C4H5NOS/c1-5-4(6)2-3-7-5/h2-3H,1H3",BEGLCMHJXHIJLR-UHFFFAOYSA-N,Cn1sccc1=O
62,METRONIDAZOLE,443-48-1|56010-45-8,74.5,HSDB,62.0,4173,"InChI=1S/C6H9N3O3/c1-5-7-4-6(9(11)12)8(5)2-3-10/h4,10H,2-3H2,1H3",VAOCPAMSLUNLGC-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1CCO
63,METSULFURON-METHYL,74223-64-6,365.0,HSDB,63.0,52999,"InChI=1S/C14H15N5O6S/c1-8-15-12(18-14(16-8)25-3)17-13(21)19-26(22,23)10-7-5-4-6-9(10)11(20)24-2/h4-7H,1-3H3,(H2,15,16,17,18,19,21)",RSMUVYRMZCOLBH-UHFFFAOYSA-N,COC(=O)c1ccccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1
64,NICLOSAMIDE,50-65-7,3.9,HSDB,64.0,4477,"InChI=1S/C13H8Cl2N2O4/c14-7-1-4-12(18)9(5-7)13(19)16-11-3-2-8(17(20)21)6-10(11)15/h1-6,18H,(H,16,19)",RJMUSRYZPJIFPJ-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(N=C(O)c2cc(Cl)ccc2O)c(Cl)c1
65,Nicosulfuron,111991-09-4,182.0,HSDB,65.0,73281,"InChI=1S/C15H18N6O6S/c1-21(2)13(22)9-6-5-7-16-12(9)28(24,25)20-15(23)19-14-17-10(26-3)8-11(18-14)27-4/h5-8H,1-4H3,(H2,17,18,19,20,23)",RTCOGUMHFFWOJV-UHFFFAOYSA-N,COc1cc(OC)nc(N=C(O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1
66,NONYLPHENOL,NA,99.0,HSDB,66.0,NA,NA,NA,NA
67,OCTAMETHYLCYCLOTETRASILOXANE,556-67-2,365.0,HSDB,67.0,11169,"InChI=1S/C8H24O4Si4/c1-13(2)9-14(3,4)11-16(7,8)12-15(5,6)10-13/h1-8H3",HMMGMWAXVFQUOA-UHFFFAOYSA-N,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
68,Octhilinone,26530-20-1,135.0,HSDB,68.0,33528,"InChI=1S/C11H19NOS/c1-2-3-4-5-6-7-9-12-11(13)8-10-14-12/h8,10H,2-7,9H2,1H3",JPMIIZHYYWMHDT-UHFFFAOYSA-N,CCCCCCCCn1sccc1=O
69,OXADIAZON,19666-30-9,577.0,HSDB,69.0,29732,"InChI=1S/C15H18Cl2N2O3/c1-8(2)21-12-7-11(9(16)6-10(12)17)19-14(20)22-13(18-19)15(3,4)5/h6-8H,1-5H3",CHNUNORXWHYHNE-UHFFFAOYSA-N,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl
70,OXALIC ACID,144-62-7,173.0,HSDB,70.0,971,"InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)",MUBZPKHOEPUJKR-UHFFFAOYSA-N,O=C(O)C(=O)O
71,OXYFLUOROFEN,42874-03-3,17.0,HSDB,71.0,39327,"InChI=1S/C15H11ClF3NO4/c1-2-23-14-8-10(4-5-12(14)20(21)22)24-13-6-3-9(7-11(13)16)15(17,18)19/h3-8H,2H2,1H3",OQMBBFQZGJFLBU-UHFFFAOYSA-N,CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
72,Palmitic acid,1219802-61-5|57-10-3,52.0,HSDB,72.0,985,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)O
73,P-CHLOROBENZOIC ACID,74-11-3,235.0,HSDB,73.0,6318,"InChI=1S/C7H5ClO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,(H,9,10)",XRHGYUZYPHTUJZ-UHFFFAOYSA-N,O=C(O)c1ccc(Cl)cc1
74,PENTACHLORONITROBENZENE,82-68-8,7.0,HSDB,74.0,6720,InChI=1S/C6Cl5NO2/c7-1-2(8)4(10)6(12(13)14)5(11)3(1)9,LKPLKUMXSAEKID-UHFFFAOYSA-N,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
75,PERMETHRIN,52341-32-9|52341-33-0|52645-53-1|82523-59-9|93389-07-2,126.0,HSDB,75.0,40326,"InChI=1S/C21H20Cl2O3/c1-21(2)17(12-18(22)23)19(21)20(24)25-13-14-7-6-10-16(11-14)26-15-8-4-3-5-9-15/h3-12,17,19H,13H2,1-2H3",RLLPVAHGXHCWKJ-UHFFFAOYSA-N,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1
76,PHORATE,298-02-2,1.5,HSDB,76.0,4790,"InChI=1S/C7H17O2PS3/c1-4-8-10(11,9-5-2)13-7-12-6-3/h4-7H2,1-3H3",BULVZWIRKLYCBC-UHFFFAOYSA-N,CCOP(=S)(OCC)SCSCC
77,PRIMISULFURON-METHYL,86209-51-0,365.0,HSDB,77.0,101525,"InChI=1S/C15H12F4N4O7S/c1-28-11(24)7-4-2-3-5-8(7)31(26,27)23-15(25)22-14-20-9(29-12(16)17)6-10(21-14)30-13(18)19/h2-6,12-13H,1H3,(H2,20,21,22,23,25)",ZTYVMAQSHCZXLF-UHFFFAOYSA-N,COC(=O)c1ccccc1S(=O)(=O)NC(O)=Nc1nc(OC(F)F)cc(OC(F)F)n1
78,PROPACHLOR,1918-16-7,146.0,HSDB,78.0,4931,"InChI=1S/C11H14ClNO/c1-9(2)13(11(14)8-12)10-6-4-3-5-7-10/h3-7,9H,8H2,1-2H3",MFOUDYKPLGXPGO-UHFFFAOYSA-N,CC(C)N(C(=O)CCl)c1ccccc1
79,Prosulfuron,94125-34-5,216.0,HSDB,79.0,91751,"InChI=1S/C15H16F3N5O4S/c1-9-19-12(22-14(20-9)27-2)21-13(24)23-28(25,26)11-6-4-3-5-10(11)7-8-15(16,17)18/h3-6H,7-8H2,1-2H3,(H2,19,20,21,22,23,24)",LTUNNEGNEKBSEH-UHFFFAOYSA-N,COc1nc(C)nc(=NC(O)=NS(=O)(=O)c2ccccc2CCC(F)(F)F)[nH]1
80,Prothioconazole,178928-70-6,231.0,HSDB,80.0,6451142,"InChI=1S/C14H15Cl2N3OS/c15-11-4-2-1-3-10(11)7-14(20,13(16)5-6-13)8-19-12(21)17-9-18-19/h1-4,9,20H,5-8H2,(H,17,18,21)",MNHVNIJQQRJYDH-UHFFFAOYSA-N,OC(Cc1ccccc1Cl)(Cn1[nH]cnc1=S)C1(Cl)CC1
