Id	CAS	SMILES	Status	Experimental value 	Predicted value 
93	262-12-4	O1c3ccccc3(Oc2ccccc12)	Training	2.3601515	2.1119
94	1582-09-8	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	Training	2.3601515	2.1969
95	17804-35-2	O=C(OC)Nc2nc1ccccc1n2(C(=O)NCCCC)	Training	2.3601515	2.35686
96	51218-45-2	O=C(N(c1c(cccc1CC)C)C(C)COC)CCl	Training	2.3601515	2.1969
97	33820-53-0	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(C)C	Test	2.3601515	2.1969
98	72-43-5	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	Training	2.3601515	2.36493
99	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Training	2.3601515	2.72587
100	79-01-6	C(=C(Cl)Cl)Cl	Training	2.3601515	2.72587
101	110-02-1	c1ccsc1	Training	2.3601515	2.35951
102	109-66-0	CCCCC	Test	2.3601515	1.9582
103	110-54-3	CCCCCC	Training	2.3601515	1.9582
104	4901-51-3	Oc1cc(c(c(c1Cl)Cl)Cl)Cl	Training	2.3601515	2.36015
105	935-95-5	Oc1c(c(cc(c1Cl)Cl)Cl)Cl	Training	2.3601515	2.36015
106	58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	Training	2.3601515	2.36015
107	88-06-2	Oc1c(cc(cc1Cl)Cl)Cl	Test	2.3601515	1.69245
108	933-78-8	Oc1cc(cc(c1Cl)Cl)Cl	Training	2.3601515	2.36015
109	95-95-4	Oc1cc(c(cc1Cl)Cl)Cl	Training	2.3601515	2.36015
110	98-95-3	O=[N+]([O-])c1ccccc1	Training	2.3601515	1.49566
111	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	2.3601515	2.36015
112	122-34-9	n1c(nc(nc1NCC)Cl)NCC	Test	2.3601515	2.1119
113	2539-17-5	Oc1c(OC)c(c(c(c1Cl)Cl)Cl)Cl	Training	2.3601515	2.36015
114	121-14-2	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	Training	2.3601515	2.35859
115	99-99-0	O=[N+]([O-])c1ccc(cc1)C	Training	2.3601515	2.36375
116	88-72-2	O=[N+]([O-])c1ccccc1C	Training	2.3601515	2.36375
117	108-88-3	c1ccc(cc1)C	Test	2.3601515	2.52174
118	100-41-4	c1ccc(cc1)CC	Training	2.3601515	2.26405
119	106-42-3	c1cc(ccc1C)C	Training	2.3601515	2.26405
120	108-38-3	c1cc(cc(c1)C)C	Training	2.3601515	2.26405
121	95-47-6	c1ccc(c(c1)C)C	Training	2.3601515	2.26405
122	111-65-9	CCCCCCCC	Test	2.3601515	2.11022
123	95-15-8	c1ccc2c(c1)ccs2	Training	2.3601515	2.36015
124	496-11-7	c1ccc2c(c1)CCC2	Training	2.3601515	2.11022
125	330-54-1	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	Training	2.3601515	2.19312
126	330-55-2	O=C(Nc1ccc(c(c1)Cl)Cl)N(OC)C	Training	2.3601515	2.19312
127	103-65-1	c1ccc(cc1)CCC	Test	2.3601515	2.44993
128	95-63-6	c1cc(c(cc1C)C)C	Training	2.3601515	2.36015
129	108-67-8	c1c(cc(cc1C)C)C	Training	2.3601515	2.36015
130	526-73-8	c1cc(c(c(c1)C)C)C	Training	2.3601515	2.36015
131	98-82-8	c1ccc(cc1)C(C)C	Training	2.3601515	2.36015
132	75-27-4	C(Cl)(Cl)Br	Test	2.3601515	2.72587
133	90-12-0	c1ccc2c(c1)cccc2C	Training	2.3601515	2.44993
134	1127-76-0	c1ccc2c(c1)cccc2CC	Training	2.3601515	2.44993
135	581-40-8	c1ccc2cc(c(cc2(c1))C)C	Training	2.3601515	2.44993
136	2131-41-1	c1cc2c(c(c1)C)c(ccc2C)C	Training	2.3601515	2.61283
137	75-01-4	C=CCl	Test	2.3601515	2.72587
138	5409-83-6	o2c1ccc(cc1c3cc(ccc23)Cl)Cl	Training	2.8502376	2.35466
139	2050-67-1	c1cc(cc(c1)Cl)c2cccc(c2)Cl	Training	2.8502376	3.08134
140	86-73-7	c1ccc3c(c1)c2ccccc2C3	Training	2.8502376	2.44993
141	120-12-7	c1ccc2cc3ccccc3(cc2(c1))	Training	2.8502376	2.61283
142	85-01-8	c1ccc3c(c1)ccc2ccccc23	Test	2.8502376	2.61283
143	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	2.8502376	2.84924
144	79-34-5	C(C(Cl)Cl)(Cl)Cl	Training	2.8502376	2.72587
145	107-06-2	C(CCl)Cl	Training	2.8502376	2.72587
146	75-00-3	CCCl	Training	2.8502376	2.72587
147	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Test	2.8502376	2.72587
148	96-18-4	C(C(CCl)Cl)Cl	Training	2.8502376	2.72587
149	78-87-5	CC(CCl)Cl	Training	2.8502376	2.72587
150	634-66-2	c1cc(c(c(c1Cl)Cl)Cl)Cl	Training	2.8502376	2.85024
151	95-94-3	c1c(c(cc(c1Cl)Cl)Cl)Cl	Training	2.8502376	2.85024
152	634-90-2	c1c(cc(c(c1Cl)Cl)Cl)Cl	Test	2.8502376	2.85024
153	120-82-1	c1cc(c(cc1Cl)Cl)Cl	Training	2.8502376	2.85024
154	108-70-3	c1c(cc(cc1Cl)Cl)Cl	Training	2.8502376	2.85024
155	87-61-6	c1cc(c(c(c1)Cl)Cl)Cl	Training	2.8502376	2.85024
156	106-46-7	c1cc(ccc1Cl)Cl	Training	2.8502376	2.85021
157	541-73-1	c1cc(cc(c1)Cl)Cl	Test	2.8502376	2.85021
158	95-50-1	c1ccc(c(c1)Cl)Cl	Training	2.8502376	2.85021
159	108-86-1	c1ccc(cc1)Br	Training	2.8502376	2.52174
160	108-90-7	c1ccc(cc1)Cl	Training	2.8502376	2.10363
161	591-50-4	c1ccc(cc1)I	Training	2.8502376	2.52174
162	608-93-5	c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Test	2.8502376	3.02706
163	116-06-3	O=C(ON=CC(C)(C)SC)NC	Training	2.8502376	2.36375
164	75-25-2	C(Br)(Br)Br	Training	2.8502376	2.35951
165	83-32-9	c2cc1cccc3c1c(c2)CC3	Training	2.8502376	2.44993
166	39227-58-2	O1c3ccccc3(Oc2c1c(cc(c2Cl)Cl)Cl)	Training	2.8502376	3.3012
167	33857-26-0	O1c3ccc(cc3(Oc2ccc(cc12)Cl))Cl	Test	2.8502376	2.85024
168	38964-22-6	O1c3ccc(cc3(Oc2cc(ccc12)Cl))Cl	Training	2.8502376	2.85024
169	39227-53-7	O1c3ccccc3(Oc2c1cccc2Cl)	Training	2.8502376	2.85024
170	39227-54-8	O1c3ccccc3(Oc2cc(ccc12)Cl)	Training	2.8502376	2.85024
171	33284-50-3	c1ccc(cc1)c2ccc(cc2Cl)Cl	Training	2.8502376	3.08134
172	34883-39-1	c1ccc(cc1)c2cc(ccc2Cl)Cl	Test	2.8502376	3.08134
173	2050-68-2	c1cc(ccc1c2ccc(cc2)Cl)Cl	Training	2.8502376	3.08134
174	13029-08-8	c1ccc(c(c1)c2ccccc2Cl)Cl	Training	2.8502376	3.08134
175	2051-61-8	c1ccc(cc1)c2cccc(c2)Cl	Training	2.8502376	3.02706
176	2051-62-9	c1ccc(cc1)c2ccc(cc2)Cl	Training	2.8502376	3.02706
177	2051-60-7	c1ccc(cc1)c2ccccc2Cl	Test	2.8502376	3.02706
178	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	2.8502376	2.72587
179	75-09-2	C(Cl)Cl	Training	2.8502376	2.72587
180	67-66-3	C(Cl)(Cl)Cl	Training	2.8502376	2.72587
181	2385-85-5	C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	3.3601515	3.36015
182	5103-74-2	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Test	3.3601515	3.35956
183	2051-24-3	c2(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c(c(c(c(c2Cl)Cl)Cl)Cl)Cl	Training	3.3601515	3.36015
184	2136-99-4	c2c(c(c(c1c(c(cc(c1Cl)Cl)Cl)Cl)c(c2Cl)Cl)Cl)Cl	Training	3.3601515	3.36015
185	52663-71-5	c1cc(c(c(c1c2c(cc(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	3.3601515	3.36015
186	38380-07-3	c1cc(c(c(c1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl)Cl	Training	3.3601515	3.36015
187	38380-02-8	c1cc(c(c(c1c2cc(ccc2Cl)Cl)Cl)Cl)Cl	Test	3.3601515	3.36015
188	2437-79-8	c1cc(cc(c1c2ccc(cc2Cl)Cl)Cl)Cl	Training	3.3601515	3.36015
189	38444-93-8	c2cc(c1cccc(c1Cl)Cl)c(c(c2)Cl)Cl	Training	3.3601515	3.36015
190	38444-86-9	c1ccc(c(c1)c2ccc(c(c2)Cl)Cl)Cl	Training	3.3601515	3.08134
191	15862-07-4	c1ccc(cc1)c2cc(c(cc2Cl)Cl)Cl	Training	3.3601515	3.08134
192	37680-65-2	c1ccc(c(c1)c2cc(ccc2Cl)Cl)Cl	Test	3.3601515	3.08134
193	35693-92-6	c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl	Training	3.3601515	3.08134
194	309-00-2	C1=CC2CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Training	3.3601515	3.35956
195	60-57-1	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Training	3.3601515	3.35624
196	40186-72-9	c2c(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c(c(c(c2Cl)Cl)Cl)Cl	Training	3.3601515	3.36015
197	72-55-9	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Test	3.3601515	3.36015
198	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	3.3601515	3.36015
199	206-44-0	c1ccc2c(c1)c4cccc3cccc2c34	Training	3.3601515	3.36011
200	129-00-0	c1cc2ccc3cccc4ccc(c1)c2c34	Training	3.3601515	3.36011
201	56-55-3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	Training	3.3601515	3.36015
202	218-01-9	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	Test	3.3601515	3.36015
203	207-08-9	c1ccc2cc3c5cccc4cccc(c3(cc2(c1)))c45	Training	3.3601515	3.36015
204	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	3.3601515	3.36015
205	198-55-0	c1cc2cccc3c5cccc4cccc(c(c1)c23)c45	Training	3.3601515	3.36015
206	191-24-2	c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56	Training	3.3601515	3.36015
207	118-74-1	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	Test	3.3601515	3.02706
208	319-84-6	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	3.3601515	3.02706
209	75-69-4	FC(Cl)(Cl)Cl	Training	3.3601515	1.66525
210	39001-02-0	o1c3c(c2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl	Training	3.3601515	3.3012
211	39227-61-7	O1c3ccc(cc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl	Training	3.3601515	3.3012
212	51207-31-9	o2c1cc(c(cc1c3cc(c(cc23)Cl)Cl)Cl)Cl	Test	3.3601515	3.3012
213	67028-18-6	O1c3cc(ccc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl	Training	3.3601515	3.3012
214	33423-92-6	O1c3cc(cc(c3(Oc2cc(cc(c12)Cl)Cl))Cl)Cl	Training	3.3601515	3.3012
215	1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	Training	3.3601515	3.3012
216	30746-58-8	O1c3ccccc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)	Training	3.3601515	3.3012
217	33979-03-2	c2c(cc(c(c1c(cc(cc1Cl)Cl)Cl)c2Cl)Cl)Cl	Test	3.3601515	3.36015
218	55312-69-1	c1ccc(c(c1)c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl	Training	3.3601515	3.36015
219	35693-99-3	c1cc(c(cc1Cl)c2cc(ccc2Cl)Cl)Cl	Training	3.3601515	3.36015
220	32598-13-3	c1cc(c(cc1c2ccc(c(c2)Cl)Cl)Cl)Cl	Training	3.3601515	3.36015
221	35822-46-9	O1c3cc(c(c(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl)Cl	Training	3.3601515	3.3012
